valid,0,"(NOT AVAILABLE)"

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NA,NA,NA,NA,NA,,,,,
104.milc,NA,NA,NA,NA,NA,,,,,
104.milc,NA,NA,NA,NA,NA,,,,,
107.leslie3d,NA,NA,NA,NA,NA,,,,,
107.leslie3d,NA,NA,NA,NA,NA,,,,,
107.leslie3d,NA,NA,NA,NA,NA,,,,,
113.GemsFDTD,NA,NA,NA,NA,NA,,,,,
113.GemsFDTD,NA,NA,NA,NA,NA,,,,,
113.GemsFDTD,NA,NA,NA,NA,NA,,,,,
115.fds4,NA,NA,NA,NA,NA,,,,,
115.fds4,NA,NA,NA,NA,NA,,,,,
115.fds4,NA,NA,NA,NA,NA,,,,,
121.pop2,NA,NA,NA,NA,NA,,,,,
121.pop2,NA,NA,NA,NA,NA,,,,,
121.pop2,NA,NA,NA,NA,NA,,,,,
122.tachyon,NA,NA,NA,NA,NA,,,,,
122.tachyon,NA,NA,NA,NA,NA,,,,,
122.tachyon,NA,NA,NA,NA,NA,,,,,
126.lammps,NA,NA,NA,NA,NA,,,,,
126.lammps,NA,NA,NA,NA,NA,,,,,
126.lammps,NA,NA,NA,NA,NA,,,,,
127.wrf2,NA,NA,NA,NA,NA,,,,,
127.wrf2,NA,NA,NA,NA,NA,,,,,
127.wrf2,NA,NA,NA,NA,NA,,,,,
128.GAPgeofem,NA,NA,NA,NA,NA,,,,,
128.GAPgeofem,NA,NA,NA,NA,NA,,,,,
128.GAPgeofem,NA,NA,NA,NA,NA,,,,,
129.tera_tf,NA,NA,NA,NA,NA,,,,,
129.tera_tf,NA,NA,NA,NA,NA,,,,,
129.tera_tf,NA,NA,NA,NA,NA,,,,,
130.socorro,NA,NA,NA,NA,NA,,,,,
130.socorro,NA,NA,NA,NA,NA,,,,,
130.socorro,NA,NA,NA,NA,NA,,,,,
132.zeusmp2,NA,NA,NA,NA,NA,,,,,
132.zeusmp2,NA,NA,NA,NA,NA,,,,,
132.zeusmp2,NA,NA,NA,NA,NA,,,,,
137.lu,NA,NA,NA,NA,NA,,,,,
137.lu,NA,NA,NA,NA,NA,,,,,
137.lu,NA,NA,NA,NA,NA,,,,,

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NA,NA,NA,NA,NA,,,,,NR
107.leslie3d,NA,NA,NA,NA,NA,,,,,NR
113.GemsFDTD,NA,NA,NA,NA,NA,,,,,NR
115.fds4,NA,NA,NA,NA,NA,,,,,NR
121.pop2,NA,NA,NA,NA,NA,,,,,NR
122.tachyon,NA,NA,NA,NA,NA,,,,,NR
126.lammps,NA,NA,NA,NA,NA,,,,,NR
127.wrf2,NA,NA,NA,NA,NA,,,,,NR
128.GAPgeofem,NA,NA,NA,NA,NA,,,,,NR
129.tera_tf,NA,NA,NA,NA,NA,,,,,NR
130.socorro,NA,NA,NA,NA,NA,,,,,NR
132.zeusmp2,NA,NA,NA,NA,NA,,,,,NR
137.lu,NA,NA,NA,NA,NA,,,,,NR

SPECmpiM_base2007,NA,,NA
SPECmpiM_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",045
Model,"Voltaire 9024D 24 ports DDR switch"
"Switch Model",9024D
"Number of Switches",1
"Number of Ports",24
"Data Rate","InfiniBand 4x DDR"
Firmware,Unknown
Topology,"single switch (star)"
"Primary Use","MPI traffic"


"Interconnect Description: GBEthernet"

HARDWARE

Vendor,Nortel
Model,"Nortel Networks Baystack 5510 Gigabit Ethernet"
,switch
"Switch Model",5510
"Number of Switches",1
"Number of Ports",24
"Data Rate","1 Gbps Ethernet"
Firmware,"fw: 1.0.0.16, sw: v3.0.1.00"
Topology,"Single Switch"
"Primary Use","file system traffic"


"BENCHMARK DETAILS"

"Type of System",Homogenous
"Total Compute Nodes",8
"Total Chips",16
"Total Cores",64
"Total Threads",64
"Total Memory","128 GB"
"Base Ranks Run",64
"Minimum Peak Ranks",--
"Maximum Peak Ranks",--
"C Compiler","QLogic PathScale C Compiler 3.0"
"C++ Compiler","QLogic PathScale C++ Compiler 3.0"
"Fortran Compiler","QLogic PathScale Fortran Compiler 3.0"
"Base Pointers",64-bit
"Peak Pointers","Not Applicable"
"MPI Library","Scali MPI Connect 5.5"
"Other MPI Info","OFED 1.2.5 ibverbs"
Pre-processors,No
"Other Software",None

"Submit Notes"

"Scali MPI Connect's mpirun wrapper has been"
"used to submit the jobs. Description of switches:"
"  -npn 8: launch 8 processes per node."
"  -rsh rsh: use rsh as method to connect to nodes."
"  -mstdin none: do not connect the processes' STDIN"
"     to anything."
"  -q: quiet mode, no output from launcher."
"  -machinefile: file selecting the hosts to run on."

"General Notes"

"Scali, Inc has executed the benchmark on AMD"
"Development Center. We are grateful for the support from"
"AMD and in particular Joshua Mora and Brian Taylor in order to"
"finalize the submissions."

"Base Compiler Invocation"
104.milc," /opt/scali/bin/mpicc  -ccl pathcc"," /opt/scali/bin/mpicc  -ccl pathcc"
107.leslie3d," /opt/scali/bin/mpif77 -ccl pathf90"," /opt/scali/bin/mpif77 -ccl pathf90"
113.GemsFDTD," /opt/scali/bin/mpif77 -ccl pathf90"," /opt/scali/bin/mpif77 -ccl pathf90"
115.fds4," /opt/scali/bin/mpicc  -ccl pathcc"," /opt/scali/bin/mpif77 -ccl pathf90"," /opt/scali/bin/mpif77 -ccl pathf90"
121.pop2," /opt/scali/bin/mpicc  -ccl pathcc"," /opt/scali/bin/mpif77 -ccl pathf90"," /opt/scali/bin/mpif77 -ccl pathf90"
122.tachyon," /opt/scali/bin/mpicc  -ccl pathcc"," /opt/scali/bin/mpicc  -ccl pathcc"
126.lammps," /opt/scali/bin/mpicc  -ccl pathCC"," /opt/scali/bin/mpicc  -ccl pathCC"
127.wrf2," /opt/scali/bin/mpicc  -ccl pathcc"," /opt/scali/bin/mpif77 -ccl pathf90"," /opt/scali/bin/mpif77 -ccl pathf90"
128.GAPgeofem," /opt/scali/bin/mpicc  -ccl pathcc"," /opt/scali/bin/mpif77 -ccl pathf90"," /opt/scali/bin/mpicc  -ccl pathcc"," /opt/scali/bin/mpif77 -ccl pathf90"
129.tera_tf," /opt/scali/bin/mpif77 -ccl pathf90"," /opt/scali/bin/mpif77 -ccl pathf90"
130.socorro," /opt/scali/bin/mpicc  -ccl pathcc"," /opt/scali/bin/mpif77 -ccl pathf90"," /opt/scali/bin/mpif77 -ccl pathf90"
132.zeusmp2," /opt/scali/bin/mpicc  -ccl pathcc"," /opt/scali/bin/mpif77 -ccl pathf90"," /opt/scali/bin/mpif77 -ccl pathf90"
137.lu," /opt/scali/bin/mpif77 -ccl pathf90"," /opt/scali/bin/mpif77 -ccl pathf90"

"Base Portability Flags"
104.milc," -DSPEC_MPI_LP64"
107.leslie3d
113.GemsFDTD
115.fds4," -DSPEC_MPI_LC_TRAILING_DOUBLE_UNDERSCORE"," -DSPEC_MPI_LP64"
121.pop2," -DSPEC_MPI_DOUBLE_UNDERSCORE"," -DSPEC_MPI_LP64"
122.tachyon," -DSPEC_MPI_LP64"
126.lammps
127.wrf2," -DF2CSTYLE"," -DSPEC_MPI_DOUBLE_UNDERSCORE"," -DSPEC_MPI_LINUX"," -DSPEC_MPI_LP64"
128.GAPgeofem," -DSPEC_MPI_LP64"
129.tera_tf
130.socorro," -fno-second-underscore"," -DSPEC_MPI_LP64"
132.zeusmp2," -DSPEC_MPI_LP64"
137.lu

"Base Optimization Flags"
104.milc," -march=core"," -Ofast"," -OPT:malloc_alg=1"
107.leslie3d," -march=core"," -O3"," -OPT:Ofast"," -OPT:malloc_alg=1"," -LANG:copyinout=off"
113.GemsFDTD," -march=core"," -O3"," -OPT:Ofast"," -OPT:malloc_alg=1"," -LANG:copyinout=off"
115.fds4," -march=core"," -Ofast"," -OPT:malloc_alg=1"," -O3"," -OPT:Ofast"," -OPT:malloc_alg=1"," -LANG:copyinout=off"
121.pop2," -march=core"," -Ofast"," -OPT:malloc_alg=1"," -O3"," -OPT:Ofast"," -OPT:malloc_alg=1"," -LANG:copyinout=off"
122.tachyon," -march=core"," -Ofast"," -OPT:malloc_alg=1"
126.lammps," -march=core"," -O3"," -OPT:Ofast"," -CG:local_fwd_sched=on"
127.wrf2," -march=core"," -Ofast"," -OPT:malloc_alg=1"," -O3"," -OPT:Ofast"," -OPT:malloc_alg=1"," -LANG:copyinout=off"
128.GAPgeofem," -march=core"," -Ofast"," -OPT:malloc_alg=1"," -O3"," -OPT:Ofast"," -OPT:malloc_alg=1"," -LANG:copyinout=off"
129.tera_tf," -march=core"," -O3"," -OPT:Ofast"," -OPT:malloc_alg=1"," -LANG:copyinout=off"
130.socorro," -march=core"," -Ofast"," -OPT:malloc_alg=1"," -O3"," -OPT:Ofast"," -OPT:malloc_alg=1"," -LANG:copyinout=off"
132.zeusmp2," -march=core"," -Ofast"," -OPT:malloc_alg=1"," -O3"," -OPT:Ofast"," -OPT:malloc_alg=1"," -LANG:copyinout=off"
137.lu," -march=core"," -O3"," -OPT:Ofast"," -OPT:malloc_alg=1"," -LANG:copyinout=off"

"Base Other Flags"
104.milc," -IPA:max_jobs=4"
107.leslie3d," -IPA:max_jobs=4"
113.GemsFDTD," -IPA:max_jobs=4"
115.fds4," -IPA:max_jobs=4"
121.pop2," -IPA:max_jobs=4"
122.tachyon," -IPA:max_jobs=4"
126.lammps," -IPA:max_jobs=4"
127.wrf2," -IPA:max_jobs=4"
128.GAPgeofem," -IPA:max_jobs=4"
129.tera_tf," -IPA:max_jobs=4"
130.socorro," -IPA:max_jobs=4"
132.zeusmp2," -IPA:max_jobs=4"
137.lu," -IPA:max_jobs=4"

"Base Forbidden Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Base Unknown Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Compiler Invocation"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Portability Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Optimization Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Other Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Forbidden Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Unknown Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu
----------------
"For questions about","this result, please","contact the tester.",
"For other inquiries,","please contact",webmaster@spec.org.,
"Copyright 2006-2010 Standard","Performance Evaluation",Corporation,
"Tested with SPEC MPI2007 ","v1.0.  Report","generated on ","Tue Jul 22 13:33:06 2014","by SPEC MPI2007 CSV","formatter v1463."
"Originally published on "," 7 November 2007."
