valid,0,(NON-COMPLIANT)

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NC,NC,NC,NC,NC,,,,,
104.milc,NC,NC,NC,NC,NC,,,,,
107.leslie3d,NC,NC,NC,NC,NC,,,,,
107.leslie3d,NC,NC,NC,NC,NC,,,,,
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,
115.fds4,NC,NC,NC,NC,NC,,,,,
115.fds4,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
121.pop2,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
122.tachyon,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
126.lammps,NC,NC,NC,NC,NC,,,,,
127.wrf2,NC,NC,NC,NC,NC,,,,,
127.wrf2,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
129.tera_tf,NC,NC,NC,NC,NC,,,,,
130.socorro,NC,NC,NC,NC,NC,,,,,
130.socorro,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
132.zeusmp2,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,
137.lu,NC,NC,NC,NC,NC,,,,,

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,NC,NC,NC,NC,NC,,,,,NR
107.leslie3d,NC,NC,NC,NC,NC,,,,,NR
113.GemsFDTD,NC,NC,NC,NC,NC,,,,,NR
115.fds4,NC,NC,NC,NC,NC,,,,,NR
121.pop2,NC,NC,NC,NC,NC,,,,,NR
122.tachyon,NC,NC,NC,NC,NC,,,,,NR
126.lammps,NC,NC,NC,NC,NC,,,,,NR
127.wrf2,NC,NC,NC,NC,NC,,,,,NR
128.GAPgeofem,NC,NC,NC,NC,NC,,,,,NR
129.tera_tf,NC,NC,NC,NC,NC,,,,,NR
130.socorro,NC,NC,NC,NC,NC,,,,,NR
132.zeusmp2,NC,NC,NC,NC,NC,,,,,NR
137.lu,NC,NC,NC,NC,NC,,,,,NR

SPECmpiM_base2007,NC,,NC
SPECmpiM_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",001
Adapter,"Mellanox MHGH28-XTC"
"Number of Adapters",1
"Slot Type","PCIe x8 Gen2"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",1
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Mellanox MHGH28-XTC"
"Adapter Driver","OFED 1.3.1"
"Adapter Firmware",2.5.0
"Operating System","Red Hat EL 5.2"
"Local File System",None
"Shared File System","Lustre FS"
"System State",Multi-User
"Other Software",None


"Interconnect Description: IB Switch"

HARDWARE

Vendor,Mellanox
Model,"Mellanox MTS3600Q-1UNC"
"Switch Model","Mellanox MTS3600Q-1UNC"
"Number of Switches",9
"Number of Ports",36
"Data Rate","InfiniBand 4x QDR"
Firmware,7.1.000
Topology,"Fat tree"
"Primary Use","MPI traffic, FS traffic"


"BENCHMARK DETAILS"

"Type of System",Homogeneous
"Total Compute Nodes",64
"Total Chips",128
"Total Cores",512
"Total Threads",512
"Total Memory","1152 GB"
"Base Ranks Run",512
"Minimum Peak Ranks",--
"Maximum Peak Ranks",--
"C Compiler","Intel C++ Compiler 11.1 for Linux"
"C++ Compiler","Intel C++ Compiler 11.1 for Linux"
"Fortran Compiler","Intel Fortran Compiler 11.1 for Linux"
"Base Pointers",64-bit
"Peak Pointers",64-bit
"MPI Library","Intel MPI Library 3.2 for Linux"
"Other MPI Info",None
Pre-processors,No
"Other Software","Intel MPI Library 3.2 for Linux Multi-Purpose"
,"Daemon (MPD)"

"Submit Notes"

"The config file option 'submit' was used."

"General Notes"

"BIOS settings notes:"
"  Intel Hyper-Threading Technology (SMT): Disabled (default is Enabled)"
"  Intel Turbo Boost Technology (Turbo)  : Disabled (default is Enabled)"

"RAM configuration notes: compute nodes have"
"  1x2-GB and 1x1-GB RDIMM on each memory channel,"
"  2-GB RDIMM is closer to the CPU."

"Network notes: nine 36-port switches, 3 core switches and 6 leaf switches."
"  Each leaf has 6 links to each core. Remaining 18 ports on 5 of 6 leafs are"
"  used for compute nodes. On the sixth leaf 8 ports are used for FS nodes,"
"  remaining 10 ports are open."

"PBS Pro was used for job submission. It has no impact on performance."
"  Can be found at: http://www.altair.com"

"Lustre File System 1.6.6 was used. Download from:"
"  http://www.sun.com/software/products/lustre"

"Base Compiler Invocation"
104.milc," mpiicc"," mpiicc"
107.leslie3d," mpiifort"," mpiifort"
113.GemsFDTD," mpiifort"," mpiifort"
115.fds4," mpiicc"," mpiifort"," mpiifort"
121.pop2," mpiicc"," mpiifort"," mpiifort"
122.tachyon," mpiicc"," mpiicc"
126.lammps," mpiicpc"," mpiicpc"
127.wrf2," mpiicc"," mpiifort"," mpiifort"
128.GAPgeofem," mpiicc"," mpiifort"," mpiicc"," mpiifort"
129.tera_tf," mpiifort"," mpiifort"
130.socorro," mpiicc"," mpiifort"," mpiifort"
132.zeusmp2," mpiicc"," mpiifort"," mpiifort"
137.lu," mpiifort"," mpiifort"

"Base Portability Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2," -DSPEC_MPI_CASE_FLAG"
122.tachyon
126.lammps," -DMPICH_IGNORE_CXX_SEEK"
127.wrf2," -DSPEC_MPI_CASE_FLAG"," -DSPEC_MPI_LINUX"
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Base Optimization Flags"
104.milc," -O3"," -xSSE4.2"," -no-prec-div"
107.leslie3d," -O3"," -xSSE4.2"," -no-prec-div"
113.GemsFDTD," -O3"," -xSSE4.2"," -no-prec-div"
115.fds4," -O3"," -xSSE4.2"," -no-prec-div"
121.pop2," -O3"," -xSSE4.2"," -no-prec-div"
122.tachyon," -O3"," -xSSE4.2"," -no-prec-div"
126.lammps," -O3"," -xSSE4.2"," -no-prec-div"
127.wrf2," -O3"," -xSSE4.2"," -no-prec-div"
128.GAPgeofem," -O3"," -xSSE4.2"," -no-prec-div"
129.tera_tf," -O3"," -xSSE4.2"," -no-prec-div"
130.socorro," -O3"," -xSSE4.2"," -no-prec-div"
132.zeusmp2," -O3"," -xSSE4.2"," -no-prec-div"
137.lu," -O3"," -xSSE4.2"," -no-prec-div"

"Base Other Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Base Forbidden Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Base Unknown Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Compiler Invocation"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Portability Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Optimization Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Other Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Forbidden Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Peak Unknown Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2
122.tachyon
126.lammps
127.wrf2
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu
----------------
"For questions about","this result, please","contact the tester.",
"For other inquiries,","please contact",webmaster@spec.org.,
"Copyright 2006-2010 Standard","Performance Evaluation",Corporation,
"Tested with SPEC MPI2007 ","v1.1.  Report","generated on ","Tue Jul 22 13:36:31 2014","by SPEC MPI2007 CSV","formatter v1463."
"Originally published on ","15 April 2009."
